call_id,phone_number,other_party,timestamp,direction,duration_seconds,imei,imsi
C022,+919000000022,+919111001022,2026-09-18T09:16:00.000Z,OUTGOING,42,356789100000022,404010100000022
C023,+919000000023,+919111001023,2026-09-18T09:19:00.000Z,OUTGOING,43,356789100000023,404010100000023
C024,+919000000024,+919111001024,2026-09-18T09:22:00.000Z,INCOMING,44,356789100000024,404010100000024
C025,+919000000025,+919111001025,2026-09-18T09:25:00.000Z,OUTGOING,45,356789100000025,404010100000025
C026,+919000000026,+919111001026,2026-09-18T09:28:00.000Z,OUTGOING,46,356789100000026,404010100000026
C027,+919000000027,+919111001027,2026-09-18T09:31:00.000Z,INCOMING,47,356789100000027,404010100000027
C028,+919000000028,+919111001028,2026-09-18T09:34:00.000Z,OUTGOING,48,356789100000028,404010100000028
C029,+919000000029,+919111001029,2026-09-18T09:37:00.000Z,OUTGOING,49,356789100000029,404010100000029
C030,+919000000030,+919111001030,2026-09-18T09:40:00.000Z,INCOMING,50,356789100000030,404010100000030
C031,+919000000031,+919111001031,2026-09-18T09:43:00.000Z,OUTGOING,51,356789100000031,404010100000031
C032,+919000000032,+919111001032,2026-09-18T09:46:00.000Z,OUTGOING,52,356789100000032,404010100000032
C033,+919000000033,+919111001033,2026-09-18T09:49:00.000Z,INCOMING,53,356789100000033,404010100000033
C034,+919000000034,+919111001034,2026-09-18T09:52:00.000Z,OUTGOING,54,356789100000034,404010100000034
C035,+919000000035,+919111001035,2026-09-18T09:55:00.000Z,OUTGOING,55,356789100000035,404010100000035
C036,+919000000036,+919111001036,2026-09-18T09:58:00.000Z,INCOMING,56,356789100000036,404010100000036
C037,+919000000037,+919111001037,2026-09-18T10:01:00.000Z,OUTGOING,57,356789100000037,404010100000037
C038,+919000000038,+919111001038,2026-09-18T10:04:00.000Z,OUTGOING,58,356789100000038,404010100000038
C039,+919000000039,+919111001039,2026-09-18T10:07:00.000Z,INCOMING,59,356789100000039,404010100000039
C040,+919000000040,+919111001000,2026-09-18T10:10:00.000Z,OUTGOING,60,356789100000040,404010100000040
C041,+919000000041,+919111001001,2026-09-18T10:13:00.000Z,OUTGOING,61,356789100000041,404010100000041
C042,+919000000042,+919111001002,2026-09-18T10:16:00.000Z,INCOMING,62,356789100000042,404010100000042
C043,+919000000043,+919111001003,2026-09-18T10:19:00.000Z,OUTGOING,63,356789100000043,404010100000043
C044,+919000000044,+919111001004,2026-09-18T10:22:00.000Z,OUTGOING,64,356789100000044,404010100000044
C045,+919000000045,+919111001005,2026-09-18T10:25:00.000Z,INCOMING,65,356789100000045,404010100000045
C046,+919000000046,+919111001006,2026-09-18T10:28:00.000Z,OUTGOING,66,356789100000046,404010100000046
C047,+919000000047,+919111001007,2026-09-18T10:31:00.000Z,OUTGOING,67,356789100000047,404010100000047
C048,+919000000048,+919111001008,2026-09-18T10:34:00.000Z,INCOMING,68,356789100000048,404010100000048
C049,+919000000049,+919111001009,2026-09-18T10:37:00.000Z,OUTGOING,69,356789100000049,404010100000049
C050,+919000000050,+919111001010,2026-09-18T10:40:00.000Z,OUTGOING,70,356789100000050,404010100000050
C051,+919000000051,+919111001011,2026-09-18T10:43:00.000Z,INCOMING,71,356789100000051,404010100000051
C052,+919000000052,+919111001012,2026-09-18T10:46:00.000Z,OUTGOING,72,356789100000052,404010100000052
C053,+919000000053,+919111001013,2026-09-18T10:49:00.000Z,OUTGOING,73,356789100000053,404010100000053
C054,+919000000054,+919111001014,2026-09-18T10:52:00.000Z,INCOMING,74,356789100000054,404010100000054
C055,+919000000055,+919111001015,2026-09-18T10:55:00.000Z,OUTGOING,75,356789100000055,404010100000055
C056,+919000000056,+919111001016,2026-09-18T10:58:00.000Z,OUTGOING,76,356789100000056,404010100000056
C057,+919000000057,+919111001017,2026-09-18T11:01:00.000Z,INCOMING,77,356789100000057,404010100000057
C058,+919000000058,+919111001018,2026-09-18T11:04:00.000Z,OUTGOING,78,356789100000058,404010100000058
C059,+919000000059,+919111001019,2026-09-18T11:07:00.000Z,OUTGOING,79,356789100000059,404010100000059
C060,+919000000060,+919111001020,2026-09-18T11:10:00.000Z,INCOMING,80,356789100000060,404010100000060
C061,+919000000061,+919111001021,2026-09-18T11:13:00.000Z,OUTGOING,81,356789100000061,404010100000061
C062,+919000000062,+919111001022,2026-09-18T11:16:00.000Z,OUTGOING,82,356789100000062,404010100000062
C063,+919000000063,+919111001023,2026-09-18T11:19:00.000Z,INCOMING,83,356789100000063,404010100000063
C064,+919000000064,+919111001024,2026-09-18T11:22:00.000Z,OUTGOING,84,356789100000064,404010100000064
C065,+919000000065,+919111001025,2026-09-18T11:25:00.000Z,OUTGOING,85,356789100000065,404010100000065
C066,+919000000066,+919111001026,2026-09-18T11:28:00.000Z,INCOMING,86,356789100000066,404010100000066
C067,+919000000067,+919111001027,2026-09-18T11:31:00.000Z,OUTGOING,87,356789100000067,404010100000067
C068,+919000000068,+919111001028,2026-09-18T11:34:00.000Z,OUTGOING,88,356789100000068,404010100000068
C069,+919000000069,+919111001029,2026-09-18T11:37:00.000Z,INCOMING,89,356789100000069,404010100000069
C070,+919000000070,+919111001030,2026-09-18T11:40:00.000Z,OUTGOING,90,356789100000070,404010100000070
C071,+919000000071,+919111001031,2026-09-18T11:43:00.000Z,OUTGOING,91,356789100000071,404010100000071
C072,+919000000072,+919111001032,2026-09-18T11:46:00.000Z,INCOMING,92,356789100000072,404010100000072
C073,+919000000073,+919111001033,2026-09-18T11:49:00.000Z,OUTGOING,93,356789100000073,404010100000073
C074,+919000000074,+919111001034,2026-09-18T11:52:00.000Z,OUTGOING,94,356789100000074,404010100000074
C075,+919000000075,+919111001035,2026-09-18T11:55:00.000Z,INCOMING,95,356789100000075,404010100000075
C076,+919000000076,+919111001036,2026-09-18T11:58:00.000Z,OUTGOING,96,356789100000076,404010100000076
C077,+919000000077,+919111001037,2026-09-18T12:01:00.000Z,OUTGOING,97,356789100000077,404010100000077
C078,+919000000078,+919111001038,2026-09-18T12:04:00.000Z,INCOMING,98,356789100000078,404010100000078
C079,+919000000079,+919111001039,2026-09-18T12:07:00.000Z,OUTGOING,99,356789100000079,404010100000079
C080,+919000000080,+919111001000,2026-09-18T12:10:00.000Z,OUTGOING,20,356789100000080,404010100000080
C081,+919000000081,+919111001001,2026-09-18T12:13:00.000Z,INCOMING,21,356789100000081,404010100000081
C082,+919000000082,+919111001002,2026-09-18T12:16:00.000Z,OUTGOING,22,356789100000082,404010100000082
C083,+919000000083,+919111001003,2026-09-18T12:19:00.000Z,OUTGOING,23,356789100000083,404010100000083
C084,+919000000084,+919111001004,2026-09-18T12:22:00.000Z,INCOMING,24,356789100000084,404010100000084
C085,+919000000085,+919111001005,2026-09-18T12:25:00.000Z,OUTGOING,25,356789100000085,404010100000085
C086,+919000000086,+919111001006,2026-09-18T12:28:00.000Z,OUTGOING,26,356789100000086,404010100000086
C087,+919000000087,+919111001007,2026-09-18T12:31:00.000Z,INCOMING,27,356789100000087,404010100000087
C088,+919000000088,+919111001008,2026-09-18T12:34:00.000Z,OUTGOING,28,356789100000088,404010100000088
C089,+919000000089,+919111001009,2026-09-18T12:37:00.000Z,OUTGOING,29,356789100000089,404010100000089
C090,+919000000090,+919111001010,2026-09-18T12:40:00.000Z,INCOMING,30,356789100000090,404010100000090
C091,+919000000091,+919111001011,2026-09-18T12:43:00.000Z,OUTGOING,31,356789100000091,404010100000091
C092,+919000000092,+919111001012,2026-09-18T12:46:00.000Z,OUTGOING,32,356789100000092,404010100000092
C093,+919000000093,+919111001013,2026-09-18T12:49:00.000Z,INCOMING,33,356789100000093,404010100000093
C094,+919000000094,+919111001014,2026-09-18T12:52:00.000Z,OUTGOING,34,356789100000094,404010100000094
C095,+919000000095,+919111001015,2026-09-18T12:55:00.000Z,OUTGOING,35,356789100000095,404010100000095
C096,+919000000096,+919111001016,2026-09-18T12:58:00.000Z,INCOMING,36,356789100000096,404010100000096
C097,+919000000097,+919111001017,2026-09-18T13:01:00.000Z,OUTGOING,37,356789100000097,404010100000097
C098,+919000000098,+919111001018,2026-09-18T13:04:00.000Z,OUTGOING,38,356789100000098,404010100000098
C099,+919000000099,+919111001019,2026-09-18T13:07:00.000Z,INCOMING,39,356789100000099,404010100000099
C100,+919000000100,+919111001020,2026-09-18T13:10:00.000Z,OUTGOING,40,356789100000100,404010100000100
C101,+919000000101,+919111001021,2026-09-18T13:13:00.000Z,OUTGOING,41,356789100000101,404010100000101
C102,+919000000102,+919111001022,2026-09-18T13:16:00.000Z,INCOMING,42,356789100000102,404010100000102
C103,+919000000103,+919111001023,2026-09-18T13:19:00.000Z,OUTGOING,43,356789100000103,404010100000103
C104,+919000000104,+919111001024,2026-09-18T13:22:00.000Z,OUTGOING,44,356789100000104,404010100000104
C105,+919000000105,+919111001025,2026-09-18T13:25:00.000Z,INCOMING,45,356789100000105,404010100000105
C106,+919000000106,+919111001026,2026-09-18T13:28:00.000Z,OUTGOING,46,356789100000106,404010100000106
C107,+919000000107,+919111001027,2026-09-18T13:31:00.000Z,OUTGOING,47,356789100000107,404010100000107
C108,+919000000108,+919111001028,2026-09-18T13:34:00.000Z,INCOMING,48,356789100000108,404010100000108
C109,+919000000109,+919111001029,2026-09-18T13:37:00.000Z,OUTGOING,49,356789100000109,404010100000109
C110,+919000000110,+919111001030,2026-09-18T13:40:00.000Z,OUTGOING,50,356789100000110,404010100000110
C111,+919000000111,+919111001031,2026-09-18T13:43:00.000Z,INCOMING,51,356789100000111,404010100000111
C112,+919000000112,+919111001032,2026-09-18T13:46:00.000Z,OUTGOING,52,356789100000112,404010100000112
C113,+919000000113,+919111001033,2026-09-18T13:49:00.000Z,OUTGOING,53,356789100000113,404010100000113
C114,+919000000114,+919111001034,2026-09-18T13:52:00.000Z,INCOMING,54,356789100000114,404010100000114
C115,+919000000115,+919111001035,2026-09-18T13:55:00.000Z,OUTGOING,55,356789100000115,404010100000115
C116,+919000000116,+919111001036,2026-09-18T13:58:00.000Z,OUTGOING,56,356789100000116,404010100000116
C117,+919000000117,+919111001037,2026-09-18T14:01:00.000Z,INCOMING,57,356789100000117,404010100000117
C118,+919000000118,+919111001038,2026-09-18T14:04:00.000Z,OUTGOING,58,356789100000118,404010100000118
C119,+919000000119,+919111001039,2026-09-18T14:07:00.000Z,OUTGOING,59,356789100000119,404010100000119
C120,+919000000120,+919111001000,2026-09-18T14:10:00.000Z,INCOMING,60,356789100000120,404010100000120
